from	to
'беларусбанк'	Беларусбанк
ATM "Беларусбанк"	Беларусбанк
ATM Белагропромбанк	Белагропромбанк
ATM Беларусбанк	Беларусбанк
ATM Беларусьбанк	Беларусбанк
ATM Белвнешэкономбанк	БелВЭБ
ATM БелВЭБ	БелВЭБ
ATM Белгазпромбанк	Белгазпромбанк
ATM Белинвестбанк	Белинвестбанк
ATM БПС-Сбербанк	БПС-Сбербанк
ATM ВТБ банк	ВТБ Банк
ATM Москва-Минск	Банк Москва-Минск
ATM Приорбанк	Приорбанк
Belswissbank	БелСвиссБанк
BelSwissBank	БелСвиссБанк
gazprom	Белгазпромбанк
Priorbank	Приорбанк
АTM Альфа-Банк	Альфа-Банк
Альфа-банк	Альфа-Банк
Асб'беларусбанк'	Беларусбанк
АСБ Беларусбанк	Беларусбанк
АТМ "Белагропромбанк"	Белагропромбанк
АТМ "Беларусбанк"	Беларусбанк
АТМ "Приорбанк"	Приорбанк
Атм Агропромбанк	Агропромбанк
АТМ Белагропромбанк	Белагропромбанк
АТМ Беларусбанк	Беларусбанк
АТМ Беларусьбанк	Беларусбанк
АТМ Белвнешэкономбанк	БелВЭБ
АТМ БелВЭБ	БелВЭБ
АТМ Белинвестбанк	Белинвестбанк
АТМ БПС-банк	БПС-Сбербанк
АТМ БТА Банк	БТА Банк
АТМ Москва-Минск	Банк Москва-Минск
АТМ Приорбанк	Приорбанк
Банк ВТБ	ВТБ
банкомат белагропромбанк	Белагропромбанк
Банкомат Белагропромбанк	Белагропромбанк
Банкомат Беларусбанка	Беларусбанк
белагропромбанк	Белагропромбанк
Белагропромбанк, банкомат	Белагропромбанк
Белагропромбанк, РКЦ	Белагропромбанк
беларусбанк	Беларусбанк
Беларусбанк (BYR)	Беларусбанк
Беларусбанк (USD, BYR)	Беларусбанк
Беларусбанк (Инфокиоск)	Беларусбанк (Инфокиоск)
Беларусьбанк	Беларусбанк
Белвнешэконом	Белвнешэкономбанк
Белвнешэкономбанк	БелВЭБ
Белвнешэкономбанк (BYR)	БелВЭБ
Белвнешэкономбанк +	БелВЭБ
белинвест	Белинвестбанк
белинвестбанк	Белинвестбанк
БелИнвестБанк	Белинвестбанк
Белинвестбанк -	Белинвестбанк
Белинвестбанк (BYR)	Белинвестбанк
Белпромстройбанк	БПС-Сбербанк
Белсвиссбанк	БелСвиссБанк
БелСвиссбанк	БелСвиссБанк
БПС	БПС-Сбербанк
БПС-банк	БПС-Сбербанк
БПС-сбербанк	БПС-Сбербанк
БПС-Сбербанк (BYR)	БПС-Сбербанк
БПС-Сбербанк Банкомат	БПС-Сбербанк
бта	БТА Банк
Бта-Банк	БТА Банк
БТА-банк	БТА Банк
БТА-Банк	БТА Банк
Внешэконом	БелВЭБ
втб	ВТБ
ВТБ банк	ВТБ
ВТБ Банк	ВТБ
газпром	Газпромбанк
Москва-Минск	Банк Москва-Минск
Отделение "Белросбанк"	Белросбанк
отделение  Беларусьбанк	Беларусбанк
поворот 'белагропромбанка'	Белагропромбанк
Приорбанк (BYR)	Приорбанк
Приорбанк+атм	Приорбанк
Промстройбанк	БПС-Сбербанк
