from	to
"Беларусбанк"	Беларусбанк
Belarusbank	Беларусбанк
Fransabank	ФрансаБанк
HomeCreditBank	Хоум Кредит Банк
HomeCreditBank ЦБУ706	Хоум Кредит Банк, ЦБУ №706
IdeaBank	Идея Банк
Mtбанк	МТБанк
Technobank	ТехноБанк
texnobank	ТехноБанк
АбсолютБанк	Абсолютбанк
Альфабанк	Альфа-Банк
Альфа банк	Альфа-Банк
АСБ Беларусбанк	Беларусбанк
Банк «Москва-Минск»	Банк Москва–Минск
Банк Москва–Минск	Банк Москва-Минск
Белаврусбанк	Беларусбанк
Беларусанк	Беларусбанк
беларусбанк	Беларусбанк
Белвнешэкомонбанк	БелВЭБ
Белвнешэкономбанк	БелВЭБ
Белгазпромбанк	БелГазПромБанк
Белгазпромбанк Обмен Валют	БелГазПромБанк
БелИнвестБанк	Белинвестбанк
БЕЛИНВЕСТБАНК	БелИнвестБанк
Белорусский народный банк	Белорусский Народный Банк
Белсвиссбанк	БСБ Банк
БелСвиссБанк	БСБ Банк
БПС-банк	БПС-Сбербанк
БПС-Банк	БПС-Сбербанк
БПС-сбербанк	БПС-Сбербанк
Бта - Банк	БТА Банк
БТА-Банк	БТА Банк
Дельтабанк	Дельта Банк
ДельтаБанк	Дельта Банк
Дельта-Банк	Дельта Банк
Идея-Банк	Идея Банк
Москва-Минск	Банк Москва-Минск
Москва—Минск	Банк Москва-Минск
